label,sub_type,r,g,b,rg_ratio
Pear,Pear 2,211.72,203.85,177.5,1.0386
Pear,Pear 2,212.38,202.97,180.72,1.0464
Pear,Pear 2,210.26,202.13,175.18,1.0402
Pear,Pear 2,200.79,172.75,165.99,1.1623
Pear,Pear 2,223.56,218.31,199.37,1.024
Pear,Pear 2,207.89,186.31,174.48,1.1158
Pear,Pear 2,213.03,181.96,178.22,1.1708
Pear,Pear 2,211.44,179.85,181.28,1.1756
Pear,Pear 2,205.79,190.28,181.83,1.0815
Pear,Pear 2,203.45,185.87,177.35,1.0946
Pear,Pear 2,219.39,209.39,193.44,1.0477
Pear,Pear 2,200.6,172.96,165.92,1.1598
Pear,Pear 2,201.22,166.79,163.34,1.2064
Pear,Pear 2,210.02,189.29,177.58,1.1095
Pear,Pear 2,213.86,208.04,187.64,1.028
Pear,Pear 2,205.59,184.52,171.82,1.1142
Pear,Pear 2,224.09,218.78,199.94,1.0243
Pear,Pear 2,224.2,218.59,198.85,1.0257
Pear,Pear 2,223.28,218.05,199.16,1.024
Pear,Pear 2,213.04,203.49,180.81,1.0469
Pear,Pear 2,216.89,207.79,184.83,1.0438
Pear,Pear 2,214.43,207.55,184.35,1.0332
Pear,Pear 2,196.37,156.93,151.45,1.2513
Pear,Pear 2,207.53,185.96,173.95,1.116
Pear,Pear 2,217.23,203.75,190.75,1.0662
Pear,Pear 2,201.7,168.12,164.28,1.1998
Pear,Pear 2,210.5,201.34,176.82,1.0455
Pear,Pear 2,215.5,198.74,188.45,1.0844
Pear,Pear 2,211.43,180.17,181.44,1.1735
Pear,Pear 2,214.22,207.69,188.46,1.0315
Pear,Pear 2,224.12,218.08,197.9,1.0277
Pear,Pear 2,206.36,194.98,186.18,1.0584
Pear,Pear 2,224.15,218.18,198.09,1.0274
Pear,Pear 2,217.34,209.38,188.26,1.038
Pear,Pear 2,205.61,186.43,173.6,1.1028
Pear,Pear 2,205.59,189.46,181.04,1.0851
Pear,Pear 2,223.77,217.26,196.86,1.0299
Pear,Pear 2,199.23,161.7,157.33,1.2321
Pear,Pear 2,217.61,209.17,186.92,1.0404
Pear,Pear 2,217.45,211.93,194.45,1.0261
Pear,Pear 2,208.61,187.25,175.45,1.1141
Pear,Pear 2,217.1,207.75,184.87,1.045
Pear,Pear 2,215.6,198.42,188.47,1.0866
Pear,Pear 2,214.37,207.6,184.78,1.0326
Pear,Pear 2,223.89,218.59,199.72,1.0242
Pear,Pear 2,211.81,192.77,179.93,1.0988
Pear,Pear 2,210.46,189.93,178.11,1.108
Pear,Pear 2,188.36,176.68,149.56,1.0661
Pear,Pear 2,222.87,215.43,194.57,1.0345
Pear,Pear 2,214.68,209.07,189.31,1.0268
Pear,Pear 2,179.69,167.76,149.67,1.0711
Pear,Pear 2,211.46,179.06,180.59,1.181
Pear,Pear 2,178.56,167.85,147.91,1.0638
Pear,Pear 2,215.62,208.66,185.33,1.0334
Pear,Pear 2,213.17,206.92,185.04,1.0302
Pear,Pear 2,224.38,218.86,199.47,1.0252
Pear,Pear 2,201.03,170.04,164.79,1.1823
Pear,Pear 2,209.19,199.97,178.26,1.0461
Pear,Pear 2,224.22,218.92,200.01,1.0242
Pear,Pear 2,214.9,208.0,184.71,1.0332
Pear,Pear 2,217.61,212.29,195.03,1.0251
Pear,Pear 2,194.09,173.71,155.95,1.1173
Pear,Pear 2,207.73,199.5,171.51,1.0412
Pear,Pear 2,205.47,185.0,172.09,1.1107
Pear,Pear 2,217.69,210.91,187.92,1.0321
Pear,Pear 2,219.13,208.74,193.25,1.0497
Pear,Pear 2,220.52,212.6,194.76,1.0372
Pear,Pear 2,222.68,216.95,197.88,1.0264
Pear,Pear 2,224.18,218.29,198.3,1.027
Pear,Pear 2,207.53,186.18,174.19,1.1146
Pear,Pear 2,212.51,180.44,178.25,1.1777
Pear,Pear 2,216.46,201.25,189.85,1.0756
Pear,Pear 2,178.94,167.9,148.76,1.0657
Pear,Pear 2,215.27,205.58,182.77,1.0472
Pear,Pear 2,195.68,155.75,150.14,1.2564
Pear,Pear 2,211.43,183.96,182.31,1.1493
Pear,Pear 2,216.08,206.46,183.39,1.0466
Pear,Pear 2,214.37,207.07,182.35,1.0353
Pear,Pear 2,213.71,207.61,186.77,1.0294
Pear,Pear 2,216.71,209.75,186.59,1.0332
Pear,Pear 2,212.74,194.88,182.28,1.0917
Pear,Pear 2,194.47,154.3,147.81,1.2603
Pear,Pear 2,222.35,216.47,197.43,1.0272
Pear,Pear 2,213.1,196.46,183.98,1.0847
Pear,Pear 2,201.97,167.04,163.98,1.2091
Pear,Pear 2,196.34,156.73,151.5,1.2527
Pear,Pear 2,211.96,204.84,184.55,1.0347
Pear,Pear 2,199.04,187.63,160.46,1.0608
Pear,Pear 2,213.61,183.66,178.57,1.1631
Pear,Pear 2,223.82,218.6,199.72,1.0239
Pear,Pear 2,214.79,205.01,182.18,1.0477
Pear,Pear 2,211.24,181.73,181.63,1.1623
Pear,Pear 2,201.99,167.08,163.81,1.209
Pear,Pear 2,224.16,218.14,197.98,1.0276
Pear,Pear 2,203.17,194.56,165.25,1.0442
Pear,Pear 2,211.15,180.48,181.35,1.1699
Pear,Pear 2,211.84,202.44,180.48,1.0464
Pear,Pear 2,203.28,184.6,176.23,1.1012
Pear,Pear 2,214.9,209.18,189.61,1.0273
Pear,Pear 2,183.33,171.56,143.56,1.0686
Pear,Pear 2,213.54,191.88,185.68,1.1129
Pear,Pear 2,195.18,155.0,148.97,1.2592
Pear,Pear 2,209.23,188.02,176.39,1.1128
Pear,Pear 2,221.6,215.08,196.24,1.0303
Pear,Pear 2,217.81,210.94,187.83,1.0326
Pear,Pear 2,204.82,186.5,173.41,1.0982
Pear,Pear 2,187.35,175.89,148.61,1.0652
Pear,Pear 2,208.49,199.06,177.16,1.0474
Pear,Pear 2,215.49,205.69,182.94,1.0477
Pear,Pear 2,208.63,194.62,182.28,1.072
Pear,Pear 2,214.79,209.19,189.87,1.0268
Pear,Pear 2,224.32,218.79,199.48,1.0253
Pear,Pear 2,214.89,196.32,187.62,1.0946
Pear,Pear 2,211.54,180.08,181.47,1.1747
Pear,Pear 2,211.6,191.81,179.38,1.1032
Pear,Pear 2,221.51,214.58,196.25,1.0323
Pear,Pear 2,216.61,207.0,183.92,1.0464
Pear,Pear 2,201.1,164.89,160.93,1.2196
Pear,Pear 2,215.15,197.17,187.87,1.0912
Pear,Pear 2,203.67,192.76,182.99,1.0566
Pear,Pear 2,202.81,182.38,174.19,1.112
Pear,Pear 2,198.41,178.93,163.26,1.1089
Pear,Pear 2,210.89,203.53,182.7,1.0361
Pear,Pear 2,189.45,167.87,147.31,1.1286
Pear,Pear 2,201.66,166.6,163.45,1.2104
Pear,Pear 2,202.0,167.2,164.25,1.2082
Pear,Pear 2,204.08,185.93,172.31,1.0976
Pear,Pear 2,223.19,217.73,198.86,1.0251
Pear,Pear 2,206.61,185.3,172.97,1.115
Pear,Pear 2,205.43,185.97,172.95,1.1046
Pear,Pear 2,210.35,190.16,178.1,1.1061
Pear,Pear 2,211.46,203.49,177.13,1.0391
Pear,Pear 2,217.74,209.92,188.76,1.0373
Pear,Pear 2,210.98,191.16,179.11,1.1037
Pear,Pear 2,215.46,205.83,183.07,1.0468
Pear,Pear 2,222.2,216.32,197.17,1.0272
Pear,Pear 2,192.88,152.8,144.67,1.2623
Pear,Pear 2,211.39,182.66,181.97,1.1573
Pear,Pear 2,222.88,215.0,194.2,1.0367
Pear,Pear 2,212.24,179.82,178.59,1.1803
Pear,Pear 2,208.17,195.25,186.73,1.0662
Pear,Pear 2,211.68,179.67,181.35,1.1781
Pear,Pear 2,224.18,218.8,199.59,1.0246
Pear,Pear 2,216.5,209.44,186.26,1.0337
Pear,Pear 2,200.94,176.93,168.96,1.1357
Pear,Pear 2,211.96,192.97,180.16,1.0984
Pear,Pear 2,190.62,169.43,149.67,1.125
Pear,Pear 2,212.35,194.27,181.47,1.0931
Pear,Pear 2,224.32,218.87,199.41,1.0249
Pear,Pear 2,211.32,197.39,185.59,1.0706
Pear,Pear 2,207.89,186.4,174.45,1.1153
Pear,Pear 2,179.08,167.84,148.95,1.067
Pear,Pear 2,195.08,184.16,158.45,1.0593
Pear,Pear 2,201.52,168.5,164.46,1.1959
Pear,Pear 2,217.36,208.85,186.34,1.0407
Pear,Pear 2,224.32,219.0,200.1,1.0243
Pear,Pear 2,211.67,179.16,180.45,1.1815
Pear,Pear 2,212.19,179.59,178.95,1.1815
Pear,Pear 2,213.2,206.91,185.26,1.0304
Pear,Pear 2,218.03,211.07,188.41,1.0329
Pear,Pear 2,201.26,169.06,164.45,1.1904
Pear,Pear 2,213.14,198.59,186.87,1.0733
Pear,Pear 2,215.95,206.28,183.29,1.0469
Pear,Pear 2,217.35,210.73,188.37,1.0315
Pear,Pear 2,212.71,195.94,183.28,1.0856
Pear,Pear 2,212.93,181.49,178.29,1.1732
Pear,Pear 2,198.86,188.54,164.07,1.0548
Pear,Pear 2,215.27,209.82,190.81,1.026
Pear,Pear 2,194.76,185.45,153.94,1.0502
Pear,Pear 2,213.73,197.77,185.64,1.0807
Pear,Pear 2,199.44,190.71,160.37,1.0458
Pear,Pear 2,208.46,187.02,175.24,1.1146
Pear,Pear 2,213.83,204.14,181.35,1.0475
Pear,Pear 2,222.0,213.4,192.42,1.0403
Pear,Pear 2,214.04,205.56,182.77,1.0413
Pear,Pear 2,211.71,179.35,180.82,1.1804
Pear,Pear 2,201.14,168.24,163.91,1.1956
Pear,Pear 2,211.23,180.81,181.44,1.1682
Pear,Pear 2,216.15,210.79,192.66,1.0255
Pear,Pear 2,180.2,169.22,149.48,1.0649
Pear,Pear 2,223.0,217.44,198.47,1.0255
Pear,Pear 2,223.91,217.51,197.15,1.0294
Pear,Pear 2,212.08,193.7,180.79,1.0949
Pear,Pear 2,218.01,209.73,187.74,1.0395
Pear,Pear 2,200.75,174.17,166.85,1.1526
Pear,Pear 2,200.79,170.53,164.81,1.1775
Pear,Pear 2,217.14,210.21,187.16,1.0329
Pear,Pear 2,213.66,207.17,184.71,1.0314
Pear,Pear 2,200.74,190.5,166.39,1.0538
Pear,Pear 2,212.48,188.2,184.02,1.129
Pear,Pear 2,177.67,167.07,146.27,1.0635
Pear,Pear 2,209.06,200.87,173.47,1.0408
Pear,Pear 2,213.22,199.34,187.75,1.0696
Pear,Pear 2,204.28,194.46,171.27,1.0505
Pear,Pear 2,212.47,198.78,187.05,1.0689
